Year,Month,Product Category Key,Province,City,Province Population Size,Province Total University Enrollment,Number of Dwellings,Median House-hold Income,Sales
2024,1,1,Prince Edward Island,Charlottetown,170688,5810,32945,76500,87.19171956107621
2024,2,2,Prince Edward Island,Summerside,170688,5810,7950,64500,91.52533707530792
2024,3,3,Nova Scotia,Cape Breto,1019725,52270,43800,62000,101.5218983028252
2024,4,4,Nova Scotia,Halifax,1019725,52270,201140,81000,99.51462824097435
2024,5,5,Nova Scotia,Kentville,1019725,52270,11940,67000,102.59032320819374
2024,6,1,Nova Scotia,New Glasgow,1019725,52270,15480,64000,81.70144666366537
2024,7,2,Nova Scotia,Truro,1019725,52270,20700,66000,85.59117967377121
2024,8,3,New Brunswick,Bathurst,812061,20590,14395,62800,94.7043404630764
2024,9,4,New Brunswick,Campbellton,812061,20590,6130,54400,74.83251703070373
2024,10,5,New Brunswick,Edmundston,812061,20590,10265,60800,88.02126041650502
2024,11,1,New Brunswick,Fredericton,812061,20590,46360,79000,88.73524550221745
2024,12,2,New Brunswick,Miramich,812061,20590,12300,66500,102.33426103976151
2024,1,3,New Brunswick,Moncton,812061,20590,67180,74500,102.81204887088128
2024,2,4,New Brunswick,Saint John,812061,20590,55865,74000,99.69674230740544
2024,3,5,Quebec,Alma,8695659,313360,13815,67500,104.8414810443543
2024,4,1,Quebec,Amos,8695659,313360,8250,76500,82.92201640759077
2024,5,2,Quebec,Baie-Comeau,8695659,313360,12360,75000,95.5055802665328
2024,6,3,Quebec,Cowansville,8695659,313360,6980,58800,98.63283990401901
2024,7,4,Quebec,Dolbeau-Mistassini,8695659,313360,6960,63600,98.45839882854712
2024,8,5,Quebec,Drummondville,8695659,313360,45695,64000,143.99338555528254
2024,9,1,Quebec,Granby,8695659,313360,41095,68500,83.86732708667388
2024,10,2,Quebec,Joliette,8695659,313360,24565,61600,112.6342678309514
2024,11,3,Quebec,Lachute,8695659,313360,6530,56400,102.06077056869267
2024,12,4,Quebec,Matane,8695659,313360,9170,56800,102.46642781394905
2024,1,5,Quebec,Montréal,8695659,313360,1835700,76000,110.3953942151232
