Postal Code,Population (2021)
A0A,"44,930"
A0B,"19,287"
A0C,"11,972"
A0E,"21,209"
A0G,"33,316"
A0H,"16,743"
A0J,"7,497"
A0K,"24,659"
A0L,"7,503"
A0M,"5,468"
A0N,"12,387"
A0P,"13,058"
A0R,"2,661"
A1A,"30,086"
A1B,"20,906"
A1C,"12,713"
A1E,"26,858"
A1G,"5,808"
A1H,"6,469"
A1K,"12,348"
A1L,"22,959"
A1M,"8,405"
A1N,"22,478"
A1S,"6,103"
A1V,"11,890"
A1W,"11,179"
A1X,"15,945"
A1Y,"5,436"
A2A,"9,277"
A2B,"4,739"
A2H,"25,290"
A2N,"8,613"
A2V,"7,447"
A5A,"8,436"
A8A,"6,475"
B0C,"2,748"
B0E,"25,919"
B0H,"9,796"
B0J,"41,032"
B0K,"35,141"
B0L,"2,335"
B0M,"17,448"
B0N,"40,484"
B0P,"41,544"
B0R,"6,090"
B0S,"17,873"
B0T,"14,729"
B0V,"5,658"
B0W,"25,890"
B1A,"14,988"
B1B,"1,237"
B1C,"1,698"
B1E,"1,533"
B1G,"1,796"
B1H,"9,146"
B1J,"1,148"
B1K,"3,336"
B1L,"4,952"
B1M,"1,271"
B1N,"5,605"
B1P,"14,704"
B1R,"4,478"
B1S,"8,826"
B1T,400
B1V,"6,088"
B1W,"3,521"
B1X,921
B1Y,"5,941"
B2A,"7,711"
B2C,262
B2E,54
B2G,"15,318"
B2H,"15,332"
B2J,67
B2N,"20,816"
B2R,"2,553"
B2S,"8,011"
B2T,"17,780"
B2V,"12,252"
B2W,"33,145"
B2X,"12,038"
B2Y,"15,420"
B2Z,"8,335"
B3A,"21,857"
B3B,"1,688"
B3E,"7,085"
B3G,"11,275"
B3H,"20,788"
B3J,"9,086"
B3K,"23,207"
B3L,"18,409"
B3M,"37,555"
B3N,"14,943"
B3P,"11,389"
B3R,"9,500"
B3S,"13,818"
B3T,"17,777"
B3V,"6,136"
B3Z,"17,841"
B4A,"18,541"
B4B,"19,570"
B4C,"18,425"
B4E,"19,718"
B4G,"5,430"
B4H,"13,723"
B4N,"18,024"
B4P,"8,780"
B4R,"2,858"
B4V,"20,376"
B5A,"16,753"
B6L,"12,989"
B9A,"4,472"
C0A,"48,140"
C0B,"29,902"
C1A,"25,861"
C1B,"14,817"
C1C,"5,239"
C1E,"12,681"
C1N,"17,691"
E1A,"48,336"
E1B,"20,584"
E1C,"25,834"
E1E,"11,936"
E1G,"24,784"
E1H,"7,883"
E1J,"3,736"
E1N,"11,333"
E1V,"13,811"
E1W,"6,940"
E1X,"14,082"
E2A,"17,408"
E2E,"19,840"
E2G,"5,528"
E2H,"4,748"
E2J,"16,058"
E2K,"18,798"
E2L,"8,221"
E2M,"18,836"
E2N,"4,310"
E2P,"1,337"
E2R,10
E2S,"6,970"
E2V,"14,545"
E3A,"29,462"
E3B,"39,788"
E3C,"12,321"
E3E,"4,719"
E3G,"9,122"
E3L,"8,439"
E3N,"13,467"
E3V,"12,142"
E3Y,"7,113"
E3Z,"3,965"
E4A,"3,001"
E4B,"4,263"
